qid,id,conversion_factor
length,متر(m),1.0
length,سانتیمتر(cm),100.0
length,اینچ(inch),39.37007874015748
length,میلیمتر(mm),1000.0
length,فوت(پا-فیت-foot-feet),3.2808398950131235
length,کیلومتر(km),0.001
length,مایل(mile),0.0006213711922373339
length,یارد(yard),1.0936132983377078
length,مایلدریایی(nauticalmile),0.0005399568034557236
length,دسیمتر(dm),10.0
length,میکرون(micron),1000000.0
length,میکرومتر(μm),1000000.0
length,نانومتر(nm),1000000000.0
length,آنگستروم(Angstrom),10000000000.0
length,پیکومتر(pm),1000000000000.0
length,فمتومتر,1000000000000000.0
length,ذرع,0.9615384615384616
length,گز,0.9615384615384616
length,وجب,4.444444444444445
length,فرسنگ(فرسخ),0.00016025641025641026
length,فرسنگشرعی(فرسخشرعی),0.00018634466308884915
length,فاتوم(ftm),0.5468066491688539
length,زنجیر(chain),0.049709695378986715
length,فرلانگ(fur),0.004970969537898671
length,میل(ثو),39370.07874015748
length,xu,9979044007584.074
length,سالنوری(lightyear),1.0570008340246154e-16
length,ثانیهنوری(lightsecond),3.3356409519815204e-09
length,واحدنجومی(au),6.684587122268445e-12
length,پارسک(pc),3.240779289444362e-17
length,شعاعخورشیدی(solarradius),1.4374011786689664e-09
Weight,تن(Ton),1.0
Weight,کیلوگرم(kg),1000.0
Weight,پوند(lb),2204.622621848776
Weight,گرم(g),1000000.0
Weight,میلیگرم(mg),1000000000.0
Weight,میکروگرم(μg),1000000000000.0
Weight,اونسمعمولی(oz),35273.961949580415
Weight,اونستروا(تروی)(ozt),32150.74656862798
Weight,اسلاگ(slug),68.52176556196105
Weight,نیوتن,9806.649999999998
Weight,کیلونیوتن,9.806649999999998
Weight,قیراط(carat),5000000.0
Weight,مثقال,217013.88888888888
Weight,سیر,13333.333333333334
Weight,چارک,1333.3333333333333
Weight,سوت,1000000000.0
Weight,گندم,20833333.333333332
Weight,نخود,5208333.333333333
Weight,خروار,3.3333333333333335
Weight,مناصفهان,166.66666666666666
Weight,منری,83.33333333333333
Weight,منتبریز,333.3333333333333
Weight,منلرستان,100.0
pressure,پاسکال(pa),1.0
pressure,بار(bar),1e-05
pressure,پیاسآی(psi),0.00014503773773164727
pressure,کیلوپاسکال(kpa),0.001
pressure,مگاپاسکال(Mpa),1e-06
pressure,گیگاپاسکال(Gpa),1e-09
pressure,میلیبار(mbar),0.01
pressure,باری(barye),10.0
pressure,اتمسفر(atm),9.869232667160129e-06
pressure,تور(Torr),0.007500616827041677
pressure,میلیمترجیوه(mmHg),0.007500615758456564
pressure,سانتیمترجیوه(cmHg),0.0007500615758456563
pressure,اینچجیوه(inHg),0.0002952998330101009
pressure,فوتجیوه(fHg),2.4608319417509622e-05
pressure,میلیمترآب(mmH2o),0.10197162129779283
pressure,سانتیمترآب(cmH2o),0.010197162129779282
pressure,اینچآب(inH2o),0.004014630759755623
pressure,فوتآب(fH2o),0.0003345525633129686
pressure,مترآب(mH2o),0.00010197162129779283
pressure,اتمسفرفنی(at),1.0197162129779282e-05
pressure,پوندبراینچمربع(psi),0.00014503683935719673
pressure,پوندبرفوتمربع(psf),0.02088543378837124
pressure,پوندالبرفوتمربع(pdl.sf),0.6718335142804932
pressure,نیوتنبرمترمربع,1.0
pressure,نیوتنبرسانتیمترمربع,0.0001
pressure,نیوتنبرمیلیمترمربع,1e-06
pressure,کیلونیوتنبرمترمربع,0.001
pressure,کیلونیوتنبرسانتیمترمربع,1e-07
pressure,کیلونیوتنبرمیلیمترمربع,1e-09
pressure,کیلوگرمبرمترمربع,0.10197162129779283
pressure,کیلوگرمبرسانتیمترمربع,1.0197162129779282e-05
pressure,کیلوگرمبرمیلیمترمربع,1.0197162129779283e-07
pressure,گرمبرمترمربع,101.97162129779282
pressure,گرمبرسانتیمترمربع,0.010197162129779284
pressure,گرمبرمیلیمترمربع,0.0012396950350213847
pressure,تنبرمترمربع,0.00010197162129779283
volume,لیتر(L),1.0
volume,میلیلیتر(mL),1000.0
volume,مترمکعب,0.001
volume,سانتیمترمکعب,1000.0
volume,سیسی(cc),1000.0
volume,میلیمترمکعب,1000000.0
volume,فوتمکعب,0.03531466672148859
volume,گالنآمریکایی(gal-us),0.2641720523581484
volume,گالنانگلیسی(gal-uk),0.2199692482990878
volume,دسیمترمکعب,1.0
volume,اینچمکعب,61.02374409473229
volume,یاردمکعب,0.0013079506193143923
volume,بشکه-نفتآمریکایی(us-barrel),0.006289810770432105
temperature,سانتیگراد(C),1.0
temperature,فارنهایت(F),33.8
temperature,کلوین(K),274.15
temperature,رانکین(R),493.47
area,مترمربع,1.0
area,سانتیمترمربع,10000.0
area,میلیمترمربع,1000000.0
area,کیلومترمربع,1e-06
area,فوتمربع,10.763910416709722
area,اینچمربع,1550.0031000062
area,مایلمربع,3.8610215854244587e-07
area,یاردمربع,1.1959900463010802
area,هکتار,0.0001
area,جریب(acre),0.0002471053814671653
speed,متربرثانیه(m/s),1.0
speed,فوتبرثانیه(fps),3.2808399
speed,کیلومتربرساعت(km/h),3.5999999999999996
speed,مایلبرساعت(mph),2.2369418519393043
speed,ماخ(درسطحدریا)(M),0.0029387822274206015
speed,ماخ(ارتفاع12کیلومتریسطحزمین)(M),0.003389830508474576
speed,گره(knot),1.9438444924406046
speed,کیلومتربرثانیه(km/s),0.001
speed,مایلبرثانیه(mps),0.0006213727366498067
speed,متربردقیقه(m/min),60.0
speed,متربرساعت(m/h),3599.9999999999995
speed,کیلومتربردقیقه(km/min),0.06
speed,مایلبردقیقه(mpm),0.03728236419898841
speed,فوتبردقیقه(fpm),196.850394
speed,فوتبرساعت(fph),11811.023640000001
speed,اینچبرثانیه(ips),39.37007874015748
speed,اینچبردقیقه(ipm),2362.2049104098355
speed,اینچبرساعت(iph),141732.28458056916
speed,سانتیمتربرثانیه(cm/s),100.0
speed,سانتیمتربردقیقه(cm/min),6000.0
speed,سانتیمتربرساعت(cm/h),360000.0
force,نیوتن(N),1.0
force,گرم-نیرو(gf),101.97162129779282
force,کیلوگرم-نیرو(kgf),0.10197162129779283
